order-2995931-20251013
Brand name;Collection;Product name;Product reference;Color name;Description;Size name;EAN13;SKU;Quantity;Net amount;Currency
Hello Simone;Winter 25 - 26;Bear fleece jacket Cookie;AW25-BFLJC;Cookie;Large jacket in printed fleece edged with constrasted jersey bias. Wide sleeve finished with elastic. Large patch pockets. High collar. Colorful jersey lining and front snap closure.;3Y;3701153659547;AW25-BFLJC-3Y;1;65,00;EUR
Hello Simone;Winter 25 - 27;Bear fleece jacket Cookie;AW25-BFLJC;Cookie;Large jacket in printed fleece edged with constrasted jersey bias. Wide sleeve finished with elastic. Large patch pockets. High collar. Colorful jersey lining and front snap closure.;4Y;3701153659530;AW25-BFLJC-4Y;1;65,00;EUR
Hello Simone;Winter 25 - 28;Bear fleece jacket Cookie;AW25-BFLJC;Cookie;Large jacket in printed fleece edged with constrasted jersey bias. Wide sleeve finished with elastic. Large patch pockets. High collar. Colorful jersey lining and front snap closure.;6Y;3701153659523;AW25-BFLJC-6Y;1;65,00;EUR
Hello Simone;Winter 25 - 29;Bear fleece jacket Cookie;AW25-BFLJC;Cookie;Large jacket in printed fleece edged with constrasted jersey bias. Wide sleeve finished with elastic. Large patch pockets. High collar. Colorful jersey lining and front snap closure.;8Y;3701153659516;AW25-BFLJC-8Y;1;65,00;EUR
Hello Simone;Winter 25 - 30;Mira fleece vest Cookie;AW25-MIRVC;Cookie;Sleeveless printed fleece jacket trimmed with contrasting jersey bias. Colorful jersey lining and front snap closure.;3Y;3701153656812;AW25-MIRVC-3Y;1;48,00;EUR
Hello Simone;Winter 25 - 31;Mira fleece vest Cookie;AW25-MIRVC;Cookie;Sleeveless printed fleece jacket trimmed with contrasting jersey bias. Colorful jersey lining and front snap closure.;4Y;3701153656805;AW25-MIRVC-4Y;1;48,00;EUR
Hello Simone;Winter 25 - 32;Mira fleece vest Cookie;AW25-MIRVC;Cookie;Sleeveless printed fleece jacket trimmed with contrasting jersey bias. Colorful jersey lining and front snap closure.;6Y;3701153656799;AW25-MIRVC-6Y;1;48,00;EUR
Hello Simone;Winter 25 - 33;Mira fleece vest Cookie;AW25-MIRVC;Cookie;Sleeveless printed fleece jacket trimmed with contrasting jersey bias. Colorful jersey lining and front snap closure.;8Y;3701153656782;AW25-MIRVC-8Y;1;48,00;EUR
Hello Simone;Winter 25 - 34;Twiggy t-shirt Lavender;AW25-TWTLAV;Lavender;Long-sleeved turtleneck T-shirt in plain jersey with contrasting croquet at the end. Back press studs for collar opening.;3Y;3701153654887;AW25-TWTLAV-3Y;1;20,00;EUR
Hello Simone;Winter 25 - 35;Twiggy t-shirt Lavender;AW25-TWTLAV;Lavender;Long-sleeved turtleneck T-shirt in plain jersey with contrasting croquet at the end. Back press studs for collar opening.;4Y;3701153654870;AW25-TWTLAV-4Y;1;20,00;EUR
Hello Simone;Winter 25 - 36;Twiggy t-shirt Lavender;AW25-TWTLAV;Lavender;Long-sleeved turtleneck T-shirt in plain jersey with contrasting croquet at the end. Back press studs for collar opening.;6Y;3701153654863;AW25-TWTLAV-6Y;1;20,00;EUR
Hello Simone;Winter 25 - 37;Twiggy t-shirt Lavender;AW25-TWTLAV;Lavender;Long-sleeved turtleneck T-shirt in plain jersey with contrasting croquet at the end. Back press studs for collar opening.;8Y;3701153654856;AW25-TWTLAV-8Y;1;20,00;EUR
Hello Simone;Winter 25 - 38;Twiggy t-shirt Orchid;AW25-TWTOR;Orchid;Long-sleeved turtleneck T-shirt in plain jersey with contrasting croquet at the end. Back press studs for collar opening.;3Y;3701153654825;AW25-TWTOR-3Y;1;20,00;EUR
Hello Simone;Winter 25 - 39;Twiggy t-shirt Orchid;AW25-TWTOR;Orchid;Long-sleeved turtleneck T-shirt in plain jersey with contrasting croquet at the end. Back press studs for collar opening.;4Y;3701153654818;AW25-TWTOR-4Y;1;20,00;EUR
Hello Simone;Winter 25 - 40;Twiggy t-shirt Orchid;AW25-TWTOR;Orchid;Long-sleeved turtleneck T-shirt in plain jersey with contrasting croquet at the end. Back press studs for collar opening.;6Y;3701153654801;AW25-TWTOR-6Y;1;20,00;EUR
Hello Simone;Winter 25 - 41;Twiggy t-shirt Orchid;AW25-TWTOR;Orchid;Long-sleeved turtleneck T-shirt in plain jersey with contrasting croquet at the end. Back press studs for collar opening.;8Y;3701153654795;AW25-TWTOR-8Y;1;20,00;EUR
Hello Simone;Winter 25 - 42;Twiggy t-shirt Amaranth;AW25-TWTSAM;Amaranth;Long-sleeved turtleneck T-shirt in plain jersey with contrasting croquet at the end. Back press studs for collar opening.;3Y;3701153654948;AW25-TWTSAM-3Y;1;20,00;EUR
Hello Simone;Winter 25 - 43;Twiggy t-shirt Amaranth;AW25-TWTSAM;Amaranth;Long-sleeved turtleneck T-shirt in plain jersey with contrasting croquet at the end. Back press studs for collar opening.;4Y;3701153654931;AW25-TWTSAM-4Y;1;20,00;EUR
Hello Simone;Winter 25 - 44;Twiggy t-shirt Amaranth;AW25-TWTSAM;Amaranth;Long-sleeved turtleneck T-shirt in plain jersey with contrasting croquet at the end. Back press studs for collar opening.;6Y;3701153654924;AW25-TWTSAM-6Y;1;20,00;EUR
Hello Simone;Winter 25 - 45;Twiggy t-shirt Amaranth;AW25-TWTSAM;Amaranth;Long-sleeved turtleneck T-shirt in plain jersey with contrasting croquet at the end. Back press studs for collar opening.;8Y;3701153654917;AW25-TWTSAM-8Y;1;20,00;EUR
Hello Simone;Winter 25 - 46;Pepette vest Simone Parme;AW25-PEPVSP;Simone Parme;Sleeveless vest in all-over jacquard. Tightened hem at bottom. V-neckline and wide armholes. Neckline and armholes knitted like scalopp.;3Y;3701153656072;AW25-PEPVSP-3Y;1;41,00;EUR
Hello Simone;Winter 25 - 47;Pepette vest Simone Parme;AW25-PEPVSP;Simone Parme;Sleeveless vest in all-over jacquard. Tightened hem at bottom. V-neckline and wide armholes. Neckline and armholes knitted like scalopp.;4Y;3701153656065;AW25-PEPVSP-4Y;1;41,00;EUR
Hello Simone;Winter 25 - 48;Pepette vest Simone Parme;AW25-PEPVSP;Simone Parme;Sleeveless vest in all-over jacquard. Tightened hem at bottom. V-neckline and wide armholes. Neckline and armholes knitted like scalopp.;6Y;3701153656058;AW25-PEPVSP-6Y;1;41,00;EUR
Hello Simone;Winter 25 - 49;Pepette vest Simone Parme;AW25-PEPVSP;Simone Parme;Sleeveless vest in all-over jacquard. Tightened hem at bottom. V-neckline and wide armholes. Neckline and armholes knitted like scalopp.;8Y;3701153656041;AW25-PEPVSP-8Y;1;45,00;EUR
Hello Simone;Winter 25 - 50;Cleophee sweater Simone Parme;AW25-CLSP;Simone Parme;All-over jacquard knit sweater. Small gathers at the head of the sleeve. Neckline knitted like scallop.;3Y;3701153659073;AW25-CLSP-3Y;1;52,00;EUR
Hello Simone;Winter 25 - 51;Cleophee sweater Simone Parme;AW25-CLSP;Simone Parme;All-over jacquard knit sweater. Small gathers at the head of the sleeve. Neckline knitted like scallop.;4Y;3701153659066;AW25-CLSP-4Y;1;52,00;EUR
