Style No;Style Name;Brand;Type;Category;Quality;Color;Size;Qty;Barcode;Weight;Country;Customs Tariff No;Wholesale Price EURO;Recommended Retail Price EURO;Season;Delivery;Washing;Ironing;Drying;Drycleaning;Bleaching;Gender;Dimensions;Description;Order No.;Customer Name;Account No.;Customer Order No.;Color Description;Delivery No.;Delivery Date;Invoice Account No.;Brand VAT;Currency;Original Sales Price EURO;Company info;Country of Origin;Wash
F1500;CODY LS SHIRT;FLIINK;SHIRT;LIGHT WOVEN;100% COTTON;INSIGNIA CHECK;2Y/92;1;5715435147408;256;China;6206300000;16,00;39,99;26 AUTUMN/WINTER;SEPTEMBER;;;;;;Unisex;;"• Long-sleeved shirt in soft cotton with check pattern
• Chest pockets, collar, and button closure
• Comfortable fit
• Can be styled with trousers in the same quality for a complete set";8031;Jove Bv;3698;;;;;3698;43139754;EUR;16,00;"FLIINK
Fliink ApS
Klamsagervej 32, 8230, Åbyhøj, Denmark
HELLO@FLIINK.DK";Kina;"• Maskinvaskes på 30°C, halv belastning
• Kort centrifugeringscyklus 
• Må ikke bleges
• Må ikke tørretumbles
• Stryges ved laveste temperatur
• Må ikke renses"
F1500;CODY LS SHIRT;FLIINK;SHIRT;LIGHT WOVEN;100% COTTON;INSIGNIA CHECK;3Y/98;1;5715435147415;256;China;6206300000;16,00;39,99;26 AUTUMN/WINTER;SEPTEMBER;;;;;;Unisex;;"• Long-sleeved shirt in soft cotton with check pattern
• Chest pockets, collar, and button closure
• Comfortable fit
• Can be styled with trousers in the same quality for a complete set";8031;Jove Bv;3698;;;;;3698;43139754;EUR;16,00;"FLIINK
Fliink ApS
Klamsagervej 32, 8230, Åbyhøj, Denmark
HELLO@FLIINK.DK";Kina;"• Maskinvaskes på 30°C, halv belastning
• Kort centrifugeringscyklus 
• Må ikke bleges
• Må ikke tørretumbles
• Stryges ved laveste temperatur
• Må ikke renses"
F1500;CODY LS SHIRT;FLIINK;SHIRT;LIGHT WOVEN;100% COTTON;INSIGNIA CHECK;4Y/104;1;5715435147422;256;China;6206300000;16,00;39,99;26 AUTUMN/WINTER;SEPTEMBER;;;;;;Unisex;;"• Long-sleeved shirt in soft cotton with check pattern
• Chest pockets, collar, and button closure
• Comfortable fit
• Can be styled with trousers in the same quality for a complete set";8031;Jove Bv;3698;;;;;3698;43139754;EUR;16,00;"FLIINK
Fliink ApS
Klamsagervej 32, 8230, Åbyhøj, Denmark
HELLO@FLIINK.DK";Kina;"• Maskinvaskes på 30°C, halv belastning
• Kort centrifugeringscyklus 
• Må ikke bleges
• Må ikke tørretumbles
• Stryges ved laveste temperatur
• Må ikke renses"
F1500;CODY LS SHIRT;FLIINK;SHIRT;LIGHT WOVEN;100% COTTON;INSIGNIA CHECK;5Y/110;1;5715435147439;256;China;6206300000;16,00;39,99;26 AUTUMN/WINTER;SEPTEMBER;;;;;;Unisex;;"• Long-sleeved shirt in soft cotton with check pattern
• Chest pockets, collar, and button closure
• Comfortable fit
• Can be styled with trousers in the same quality for a complete set";8031;Jove Bv;3698;;;;;3698;43139754;EUR;16,00;"FLIINK
Fliink ApS
Klamsagervej 32, 8230, Åbyhøj, Denmark
HELLO@FLIINK.DK";Kina;"• Maskinvaskes på 30°C, halv belastning
• Kort centrifugeringscyklus 
• Må ikke bleges
• Må ikke tørretumbles
• Stryges ved laveste temperatur
• Må ikke renses"
F1500;CODY LS SHIRT;FLIINK;SHIRT;LIGHT WOVEN;100% COTTON;INSIGNIA CHECK;6Y/116;1;5715435147446;256;China;6206300000;16,00;39,99;26 AUTUMN/WINTER;SEPTEMBER;;;;;;Unisex;;"• Long-sleeved shirt in soft cotton with check pattern
• Chest pockets, collar, and button closure
• Comfortable fit
• Can be styled with trousers in the same quality for a complete set";8031;Jove Bv;3698;;;;;3698;43139754;EUR;16,00;"FLIINK
Fliink ApS
Klamsagervej 32, 8230, Åbyhøj, Denmark
HELLO@FLIINK.DK";Kina;"• Maskinvaskes på 30°C, halv belastning
• Kort centrifugeringscyklus 
• Må ikke bleges
• Må ikke tørretumbles
• Stryges ved laveste temperatur
• Må ikke renses"
F1622;DONNA EMBR. DENIM PANT;FLIINK;PANT;WOVEN;100% COTTON;DARK DENIM BLUE;2Y/92;1;5715435145770;237;China;6204228090;20,00;49,99;26 AUTUMN/WINTER;OCTOBER;;;;;;Unisex;;"• Long denim trousers with embroidered berries
• Elastic waist and side seam pockets
• Loose and spacious fit, comfortable and easy to play in
• Voluminous cut for comfort and freedom of movement";8031;Jove Bv;3698;;;;;3698;43139754;EUR;20,00;"FLIINK
Fliink ApS
Klamsagervej 32, 8230, Åbyhøj, Denmark
HELLO@FLIINK.DK";Kina;
F1622;DONNA EMBR. DENIM PANT;FLIINK;PANT;WOVEN;100% COTTON;DARK DENIM BLUE;3Y/98;1;5715435145787;237;China;6204228090;20,00;49,99;26 AUTUMN/WINTER;OCTOBER;;;;;;Unisex;;"• Long denim trousers with embroidered berries
• Elastic waist and side seam pockets
• Loose and spacious fit, comfortable and easy to play in
• Voluminous cut for comfort and freedom of movement";8031;Jove Bv;3698;;;;;3698;43139754;EUR;20,00;"FLIINK
Fliink ApS
Klamsagervej 32, 8230, Åbyhøj, Denmark
HELLO@FLIINK.DK";Kina;
F1622;DONNA EMBR. DENIM PANT;FLIINK;PANT;WOVEN;100% COTTON;DARK DENIM BLUE;4Y/104;1;5715435145794;237;China;6204228090;20,00;49,99;26 AUTUMN/WINTER;OCTOBER;;;;;;Unisex;;"• Long denim trousers with embroidered berries
• Elastic waist and side seam pockets
• Loose and spacious fit, comfortable and easy to play in
• Voluminous cut for comfort and freedom of movement";8031;Jove Bv;3698;;;;;3698;43139754;EUR;20,00;"FLIINK
Fliink ApS
Klamsagervej 32, 8230, Åbyhøj, Denmark
HELLO@FLIINK.DK";Kina;
F1622;DONNA EMBR. DENIM PANT;FLIINK;PANT;WOVEN;100% COTTON;DARK DENIM BLUE;5Y/110;1;5715435145800;237;China;6204228090;20,00;49,99;26 AUTUMN/WINTER;OCTOBER;;;;;;Unisex;;"• Long denim trousers with embroidered berries
• Elastic waist and side seam pockets
• Loose and spacious fit, comfortable and easy to play in
• Voluminous cut for comfort and freedom of movement";8031;Jove Bv;3698;;;;;3698;43139754;EUR;20,00;"FLIINK
Fliink ApS
Klamsagervej 32, 8230, Åbyhøj, Denmark
HELLO@FLIINK.DK";Kina;
F1622;DONNA EMBR. DENIM PANT;FLIINK;PANT;WOVEN;100% COTTON;DARK DENIM BLUE;6Y/116;1;5715435145817;237;China;6204228090;20,00;49,99;26 AUTUMN/WINTER;OCTOBER;;;;;;Unisex;;"• Long denim trousers with embroidered berries
• Elastic waist and side seam pockets
• Loose and spacious fit, comfortable and easy to play in
• Voluminous cut for comfort and freedom of movement";8031;Jove Bv;3698;;;;;3698;43139754;EUR;20,00;"FLIINK
Fliink ApS
Klamsagervej 32, 8230, Åbyhøj, Denmark
HELLO@FLIINK.DK";Kina;
