EAN;Artikelcode;Productnaam;Merk;Prijs factuur HT (€);Verkoopprijs notitie;Advies/verkoopprijs TTC (€);Bron prijs TTC;Webshoptekst;Bron research
3760217141794;VINBM200;Mousse de Douche Vanille 200 ml;Inuwet;6,10;prijs op factuur HT (leverancier): 6,10 €;12,00;https://inuwet.com/products/mousse-de-douche-parfum-vanille;"Inuwet - Mousse de Douche Vanille (200 ml)

Een wolkje vanille-chantilly onder de douche — zoet, zacht en ultrazacht voor de hele familie. 🍦

Deze douchemousse voelt als slagroom op de huid: luchtig, wit en heerlijk romig. Het warme vanilleparfum maakt van het douchemoment een klein cocoonritueel — ideaal voor kinderen én mama.

De formule is verrijkt met biologische aloë vera en plantaardige glycerine die helpen hydrateren en kalmeren. Meer dan 92% ingrediënten van natuurlijke oorsprong, vegan, dermatologisch getest en gemaakt in Frankrijk. Vanaf 3 jaar.

Tip: goed schudden voor gebruik, aanbrengen op vochtige huid en masseren met een zachte spons voor een nog luxueuzere mousse.

Kenmerken
• 200 ml douchemousse met vanillegeur
• Texture chantilly: luchtig, onctueus en mild
• Met aloë vera BIO & plantaardige glycerine
• Vegan, Made in France, vanaf 3 jaar
• Geschikt voor delicate huid van de hele familie

Over Inuwet
Inuwet is een Franse kids- & beauty-merk dat kleur, geur en speelse rituelen combineert met zachte, vegan formules — gemaakt in Frankrijk en ontworpen voor de hele familie (vaak vanaf 3 jaar).";"https://inuwet.com/products/mousse-de-douche-parfum-vanille ; April Beauty productfiche"
3760217141015;VINBM205;Mousse de Douche Cola 200 ml;Inuwet;6,10;prijs op factuur HT (leverancier): 6,10 €;12,00;https://inuwet.com (mousse cola / collectie mousses);"Inuwet - Mousse de Douche Cola (200 ml)

Speelse cola-geur en een speelse chantilly-mousse — douchen wordt een fun moment. 🥤

Deze douchemousse heeft een zachte, onctueuze texture en een vrolijk colaparfum dat kinderen (én ouders) doet glimlachen. De kleurrijke, romige schuimervaring maakt van elke douche een klein avontuur.

Formulering met biologische aloë vera en hydraterende plantaardige glycerine: mild, vegan en Made in France. Meer dan 92% natuurlijke oorsprong, dermatologisch getest, voor de hele familie vanaf 3 jaar.

Schud goed, breng aan op vochtige huid en geniet van de airy mousse — eventueel met een spons voor nog meer speels schuim.

Kenmerken
• 200 ml douchemousse met colageur
• Chantilly-texture, mild en speels
• Aloë vera BIO & plantaardige glycerine
• Vegan, Made in France, vanaf 3 jaar
• Kids beauty / family shower foam

Over Inuwet
Inuwet is een Franse kids- & beauty-merk dat kleur, geur en speelse rituelen combineert met zachte, vegan formules — gemaakt in Frankrijk en ontworpen voor de hele familie (vaak vanaf 3 jaar).";"https://inuwet.com/products/mousse-de-douche-pop-corn-copie ; https://www.april-beauty.com/fr/mousse-de-douche-cola-"
3760217140193;VINBM301;Coffret Bain Sweet Pink – Fraise;Inuwet;12,25;prijs op factuur HT (leverancier): 12,25 €;24,00;https://inuwet.com/products/coffret-sweet-pink;"Inuwet - Coffret Bain Sweet Pink (Fraise)

Een roze aardbei-badfeestje in één giftset — mousse, spons & chouchou. 🍓

Het Sweet Pink-coffret maakt van het bad een vrolijk strawberry-moment. Binnenin: een roze douchemousse met heerlijk aardbeiparfum (200 ml), een speelse spons en een chouchou (plus sticker) — perfect om te geven of te bewaren.

De mousse heeft een zachte chantilly-texture en is verrijkt met aloë vera van biologische oorsprong en plantaardige glycerine. Vegan, Made in France, voor kleine en grote beautyfans vanaf 3 jaar.

Ideaal als verjaardagscadeau, badkamer-upgrade of eerste ‘eigen’ beautyritueel voor kids.

Kenmerken
• Giftset: mousse fraise 200 ml + spons + chouchou (+ sticker)
• Roze chantilly-mousse met aardbeigeur
• Aloë vera BIO & glycerine, mild voor de huid
• Vegan & Made in France, vanaf 3 jaar
• Fun bath box / kids beauty cadeauset

Over Inuwet
Inuwet is een Franse kids- & beauty-merk dat kleur, geur en speelse rituelen combineert met zachte, vegan formules — gemaakt in Frankrijk en ontworpen voor de hele familie (vaak vanaf 3 jaar).";"https://inuwet.com/products/coffret-sweet-pink ; Beauty Success / L'Armoire de Bébé"
3760217140711;VINBM400;Coffret Bain Bubble Peach – Pêche;Inuwet;11,00;prijs op factuur HT (leverancier): 11,00 €;20,00;https://inuwet.com/products/bubble-peach-set-mousse-de-douche-peche-eponge-fruit-chouchou-velours;"Inuwet - Coffret Bain Bubble Peach (Pêche)

Zacht perzikschuim, fruitige spons en een coral chouchou — badtijd in peach-mode. 🍑

Bubble Peach is een fruitig badcoffret met oranje douchemousse met heerlijk perzikparfum, een fruitvormige spons en een chouchou in velvet coral. Een cadeau dat zowel kids als teens blij maakt.

De mousse voelt als chantilly: onctueus, mild en hydraterend dankzij aloë vera BIO en plantaardige glycerine. Ongeveer 92,4% ingrediënten van natuurlijke oorsprong, vegan, Made in France, dermatologisch getest, vanaf 3 jaar.

Schud, schuim en geniet — de spons verlengt het speelse mousse-moment onder de douche.

Kenmerken
• Set: mousse pêche 200 ml + fruit spons + chouchou velvet
• Perzikgeur, oranje chantilly-texture
• Aloë vera BIO & plantaardige glycerine
• Vegan, Made in France, vanaf 3 jaar
• Ideaal cadeau kids beauty / bath set

Over Inuwet
Inuwet is een Franse kids- & beauty-merk dat kleur, geur en speelse rituelen combineert met zachte, vegan formules — gemaakt in Frankrijk en ontworpen voor de hele familie (vaak vanaf 3 jaar).";https://inuwet.com/products/bubble-peach-set-mousse-de-douche-peche-eponge-fruit-chouchou-velours
3760355045596;VINCDIY3;Mask Peel-Off Hydratant Aquasource Monoï (sachet DIY);Inuwet;3,00;prijs op factuur HT (leverancier): 3,00 €;5,50;https://inuwet.com/products/masque-visage-peel-off-detox-copy (peel-off hydratant monoï);"Inuwet - Mask Peel-Off Hydratant Aquasource Monoï (DIY sachet)

Een speels DIY peel-off masker met monoï — hydrateren als een beauty-atelier thuis. ✨

Dit poedermasker (Aqua Shot / Aquasource Monoï) meng je met water tot een gel die je aanbrengt, laat inwerken en daarna als een film afpelt. Een leuk, sensorieel ritueel met een zachte monoï-touch.

Typisch geformuleerd met mariene alginaten en verzachtende actieve stoffen (o.a. aloë) voor een hydraterend, vegan peel-off moment. Geschikt als solo-sachet of binnen een DIY-kit met kom en kwast.

Perfect voor een mother-daughter spa-avond of een eerste échte skincare-stap voor teens.

Kenmerken
• DIY peel-off poedermasker, geur monoï
• Hydraterende Aquasource / Aqua Shot formule
• Meng met water, aanbrengen, afpellen
• Vegan kids- & teen beauty masker
• Los sachet (ideaal refill / single use)

Over Inuwet
Inuwet is een Franse kids- & beauty-merk dat kleur, geur en speelse rituelen combineert met zachte, vegan formules — gemaakt in Frankrijk en ontworpen voor de hele familie (vaak vanaf 3 jaar).";"https://inuwet.com/products/masque-visage-peel-off-detox-copy ; Printemps / Cocooncenter Aqua Shot Monoï"
3760217140902;VINCP01;Coffret Miss Peony (parfum + baume + chouchou);Inuwet;10,00;prijs op factuur HT (leverancier): 10,00 €;19,9;Voorstel Babette ~2× HT, goedgekeurd Margot 15/09/2026;"Inuwet - Coffret Miss Peony

Bloemige pioen-elegance in één set: roll-on, lippenbalsem en chouchou. 🌸

Miss Peony is een geurig beautycoffret rond peony/pivoine: een glittery roll-on parfum, een geurende lippenbalsem (vaak marshmallow/guimauve-achtig) en een satijnen chouchou. Zoet, zacht en klaar om te geven.

Denk aan een first perfume-ritueel voor kids en teens: licht, speels en veilig in de Inuwet-stijl — vegan beauty met Franse roots.

Mooi als verjaardags- of feestdagencadeau, of als starterset voor een eigen beauty-etui.

Kenmerken
• Set: roll-on parfum pivoine + lippenbalsem + chouchou
• Bloemige, zachte peony-geurbeleving
• Kids & mama beauty giftset
• Vegan Inuwet-formule, Made in France-spirit
• Ideaal als eerste parfumset

Over Inuwet
Inuwet is een Franse kids- & beauty-merk dat kleur, geur en speelse rituelen combineert met zachte, vegan formules — gemaakt in Frankrijk en ontworpen voor de hele familie (vaak vanaf 3 jaar).";"https://minishumains.com/fr/Produit-2054184-Coffret-Miss-Pivoine ; Space of Beauty Miss Peony set"
3760217141008;VINCP03;Coffret Parfum Miss Monoï;Inuwet;10,00;prijs op factuur HT (leverancier): 10,00 €;19,9;Voorstel Babette ~2× HT, goedgekeurd Margot 15/09/2026;"Inuwet - Coffret Miss Monoï

Zomerse monoï-vibes: roll-on, lippenbalsem en chouchou in één sunny set. 🌺

Miss Monoï brengt vacation-gevoel naar de beautybag: een eau de parfum roll-on met monoï (typisch 10 ml), een matching lippenbalsem en een chouchou. Licht, zonnig en speels — zonder zwaar te zijn.

Een perfect cadeau voor kids die van geurige rituelen houden, of voor mama’s die graag een mini-escape in hun etui hebben. Inuwet-stijl: kleurrijk, vegan-minded en Made in France.

Aanbrengen van de roll-on op polsen of hals; de balsem de hele dag op de lippen voor zachte, geurende kissen.

Kenmerken
• Set: monoï roll-on ±10 ml + lippenbalsem + chouchou
• Zonnige monoï-/vakantiegeur
• Compacte giftset kids & teen beauty
• Vegan Inuwet-collectie
• Ideaal als zomer- of feestdagencadeau

Over Inuwet
Inuwet is een Franse kids- & beauty-merk dat kleur, geur en speelse rituelen combineert met zachte, vegan formules — gemaakt in Frankrijk en ontworpen voor de hele familie (vaak vanaf 3 jaar).";"https://www.my-origines.com/fr/miss-monoi-Q5728001.html ; https://www.littleteam.be/se-laver/6702-coffret-miss-monoi-inuwet-3760217141008.html"
3760355044827;VINDV02;Duo Mauve – Baume B07 + Vernis V04;Inuwet;7,25;prijs op factuur HT (leverancier): 7,25 €;14,5;Voorstel Babette ~2× HT, goedgekeurd Margot 15/09/2026;"Inuwet - Duo Mauve (Lippenbalsem + Watervernis)

Zacht mauve-duo: zoete lippenzorg én speelse watervernis voor kids. 💜

Dit duo combineert een geurende lippenbalsem (vaak marshmallow/guimauve in de mauve-lijn) met een watergedragen nagellak in een delicate mauve/myrtille-tint. Twee essentials voor een eerste make-upritueel — mild en leuk.

De balsem voedt met typische Inuwet-actieven zoals sheaboter, macadamiaolie en carnaubawas; de vernis is water based en makkelijk verwijderbaar — ideaal voor kinderen.

Mooi als mini-giftset of als matchende set voor etui en nagels.

Kenmerken
• Duo: lippenbalsem + watervernis mauve
• Kids-vriendelijke water based nail polish
• Hydraterende vegan lippenbalsem
• Speelse mauve/myrtille look
• Vanaf ±3 jaar (volg etiket)

Over Inuwet
Inuwet is een Franse kids- & beauty-merk dat kleur, geur en speelse rituelen combineert met zachte, vegan formules — gemaakt in Frankrijk en ontworpen voor de hele familie (vaak vanaf 3 jaar).";"https://inuwet.com/products/duo-baume-vernis-kids-mauve-copie ; https://inuwet.ca/products/duo-baume-vernis-mauve"
3760217140209;VINDV04;Duo Baume + Vernis Fuchsia DV04;Inuwet;7,25;prijs op factuur HT (leverancier): 7,25 €;14,5;Voorstel Babette ~2× HT, goedgekeurd Margot 15/09/2026;"Inuwet - Duo Baume & Vernis Fuchsia

Fel fuchsia fun: zoete balsem en roze watervernis in één cadeau-duo. 💖

Een vrolijk fuchsia-setje met een geurende lippenbalsem (vaak cerise/kers in deze lijn) en een watergedragen vernis in een speelse roze/fuchsia tint. Perfect voor little fashionistas die van kleur houden.

De balsem hydrateert en beschermt; de vernis spoelt of veegt makkelijk weg — kinder-make-up zonder gedoe. Vegan Inuwet-formules, Made in France-spirit.

Geef als attentie bij een verjaardag, sleepover of als starterset beauty.

Kenmerken
• Duo: lippenbalsem + watervernis fuchsia
• Water based kids nail polish
• Hydraterende geurende balsem
• Fel, speels fuchsia-roze look
• Ideaal cadeau kids beauty

Over Inuwet
Inuwet is een Franse kids- & beauty-merk dat kleur, geur en speelse rituelen combineert met zachte, vegan formules — gemaakt in Frankrijk en ontworpen voor de hele familie (vaak vanaf 3 jaar).";"https://inuwet.com/products/duo-baume-vernis-kids-mauve-copie (duo vernis kids fuchsia-lijn) ; Beauty Success duo’s"
3760217140308;VINDV05;Duo Baume + Vernis Fraise;Inuwet;7,25;prijs op factuur HT (leverancier): 7,25 €;14,5;Voorstel Babette ~2× HT, goedgekeurd Margot 15/09/2026;"Inuwet - Duo Baume & Vernis Fraise

Aardbei-zoet op lippen én nagels — een duo dat glimlacht. 🍓

Dit fraise-duo brengt aardbeiengeur en roze vrolijkheid samen: een hydraterende lippenbalsem met strawberry-parfum én een watergedragen vernis in een zachte roze tint.

Mild genoeg voor kids, leuk genoeg voor teens. De balsem verzorgt met shea & plantaardige oliën; de vernis is water based en kindvriendelijk.

Een compact cadeau dat meteen ‘wow’ doet in de beautybag.

Kenmerken
• Duo: balsem fraise + watervernis rose
• Aardbeigeur op de lippen
• Water based kids nail polish
• Vegan Inuwet kids beauty
• Perfect als klein cadeautje

Over Inuwet
Inuwet is een Franse kids- & beauty-merk dat kleur, geur en speelse rituelen combineert met zachte, vegan formules — gemaakt in Frankrijk en ontworpen voor de hele familie (vaak vanaf 3 jaar).";https://www.beautysuccess.fr/soin-inuwet-coffret-duo-fraise-baume-a-levres-vernis-a-l-eau-femme-inu6102617
