Style Name;Style Number;Color Name;Color Code;Size;Alt Size;UPC/EAN;SKU;Currency;Wholesale Price;Retail Price;Retail Date;Quantity Requested;Quantity Available;Start Ship Date;Cancel Date;Category;Family;Gender;Highlight;Made In;Material;Permanent;Sub-Target;Target;Wave;Color;Technology
DORS BIEN;A0ARW;MARSHMALLOW/TERKUIT;01;1M;;3617102252205;A0ARW01460;EUR;18,75;45;6/17/26;1;20+;8/21/26;;NIGHTWEAR;GOOD-FITTING ITEMS;Unisex;AH2026, BEST, Reconduit;Maroc;VELVET;Non Permanent;Newborn;Baby;EARLY SEASON;white;Oeko-Tex, Warm
DORS BIEN;A0ARW;MARSHMALLOW/TERKUIT;01;3M;;3617102252304;A0ARW01000;EUR;18,75;45;6/17/26;1;20+;8/21/26;;NIGHTWEAR;GOOD-FITTING ITEMS;Unisex;AH2026, BEST, Reconduit;Maroc;VELVET;Non Permanent;Newborn;Baby;EARLY SEASON;white;Oeko-Tex, Warm
DORS BIEN;A0ARW;MARSHMALLOW/TERKUIT;01;6M;;3617102252328;A0ARW01010;EUR;18,75;45;6/17/26;1;20+;8/21/26;;NIGHTWEAR;GOOD-FITTING ITEMS;Unisex;AH2026, BEST, Reconduit;Maroc;VELVET;Non Permanent;Newborn;Baby;EARLY SEASON;white;Oeko-Tex, Warm
DORS BIEN;A0ARW;MARSHMALLOW/TERKUIT;01;12M;;3617102252359;A0ARW01070;EUR;18,75;45;6/17/26;1;20+;8/21/26;;NIGHTWEAR;GOOD-FITTING ITEMS;Unisex;AH2026, BEST, Reconduit;Maroc;VELVET;Non Permanent;Newborn;Baby;EARLY SEASON;white;Oeko-Tex, Warm
DORS BIEN Y;A0AX3;MONTELIMAR/MEDIEVAL;01;1M;;3617102258320;A0AX301460;EUR;16,25;39;6/17/26;1;20+;8/21/26;;NIGHTWEAR;GOOD-FITTING ITEMS;Unisex;Reconduit;Maroc;VELVET;Non Permanent;Baby;Baby;THEME 1;beige;Oeko-Tex, Warm
DORS BIEN Y;A0AX3;MONTELIMAR/MEDIEVAL;01;6M;;3617102258344;A0AX301010;EUR;16,25;39;6/17/26;1;20+;8/21/26;;NIGHTWEAR;GOOD-FITTING ITEMS;Unisex;Reconduit;Maroc;VELVET;Non Permanent;Baby;Baby;THEME 1;beige;Oeko-Tex, Warm
DORS BIEN Y;A0AX3;MONTELIMAR/MEDIEVAL;01;9M;;3617102258313;A0AX301490;EUR;16,25;39;6/17/26;1;20+;8/21/26;;NIGHTWEAR;GOOD-FITTING ITEMS;Unisex;Reconduit;Maroc;VELVET;Non Permanent;Baby;Baby;THEME 1;beige;Oeko-Tex, Warm
DORS BIEN Y;A0AX3;MONTELIMAR/MEDIEVAL;01;12M;;3617102258337;A0AX301070;EUR;16,25;39;6/17/26;1;20+;8/21/26;;NIGHTWEAR;GOOD-FITTING ITEMS;Unisex;Reconduit;Maroc;VELVET;Non Permanent;Baby;Baby;THEME 1;beige;Oeko-Tex, Warm
DORS BIEN Y;A0AX3;MONTELIMAR/MEDIEVAL;01;18M;;3617102258306;A0AX301030;EUR;16,25;39;6/17/26;1;20+;8/21/26;;NIGHTWEAR;GOOD-FITTING ITEMS;Unisex;Reconduit;Maroc;VELVET;Non Permanent;Baby;Baby;THEME 1;beige;Oeko-Tex, Warm
BODYJAMA;A0AS9;MARSHMALLOW;01;1M;;3617102252953;A0AS901460;EUR;19,58;47;6/17/26;1;20+;8/21/26;;NIGHTWEAR;GOOD-FITTING ITEMS;Unisex;AH2026, BEST, Reconduit;Maroc;VELVET;Non Permanent;Newborn;Baby;EARLY SEASON;white;Oeko-Tex, Warm
