Tabel 1
SKU;model reference;Description;Color;Description Color;Size;Composition;Wash Care;Price;PVPR;EAN;Amount;Link
PA00/0AT11352-R373B-9M;PA00/0AT11352;STRIPED JERSEY SWEATER;R373B;DRAWING;9M;89.0% Cotton/10.0% Recycled Cotton/1.0% Elastane;"Normal washing up to 30ºC; do not use bleach; Do not tumble dry; Iron up to 110º C";16,96;44,5;5608838655666;1;https://pro.playupstore.com/index.php?pid=97128
PA00/0AT11352-R373B-6M;PA00/0AT11352;STRIPED JERSEY SWEATER;R373B;DRAWING;6M;89.0% Cotton/10.0% Recycled Cotton/1.0% Elastane;"Normal washing up to 30ºC; do not use bleach; Do not tumble dry; Iron up to 110º C";16,96;44,5;5608838655659;1;https://pro.playupstore.com/index.php?pid=97124
PA00/0AT11352-R373B-3M;PA00/0AT11352;STRIPED JERSEY SWEATER;R373B;DRAWING;3M;89.0% Cotton/10.0% Recycled Cotton/1.0% Elastane;"Normal washing up to 30ºC; do not use bleach; Do not tumble dry; Iron up to 110º C";16,96;44,5;5608838655642;1;https://pro.playupstore.com/index.php?pid=97120
PA00/0AT11352-R373B-1M;PA00/0AT11352;STRIPED JERSEY SWEATER;R373B;DRAWING;1M;89.0% Cotton/10.0% Recycled Cotton/1.0% Elastane;"Normal washing up to 30ºC; do not use bleach; Do not tumble dry; Iron up to 110º C";16,96;44,5;5608838655635;1;https://pro.playupstore.com/index.php?pid=97116
PA00/0AT11352-R376R-9M;PA00/0AT11352;STRIPED JERSEY SWEATER;R376R;TAPESTRY;9M;89.0% Cotton/10.0% Recycled Cotton/1.0% Elastane;"Normal washing up to 30ºC; do not use bleach; Do not tumble dry; Iron up to 110º C";16,96;44,5;5608838655727;1;https://pro.playupstore.com/index.php?pid=97131
PA00/0AT11352-R376R-6M;PA00/0AT11352;STRIPED JERSEY SWEATER;R376R;TAPESTRY;6M;89.0% Cotton/10.0% Recycled Cotton/1.0% Elastane;"Normal washing up to 30ºC; do not use bleach; Do not tumble dry; Iron up to 110º C";16,96;44,5;5608838655710;1;https://pro.playupstore.com/index.php?pid=97127
PA00/0AT11352-R376R-3M;PA00/0AT11352;STRIPED JERSEY SWEATER;R376R;TAPESTRY;3M;89.0% Cotton/10.0% Recycled Cotton/1.0% Elastane;"Normal washing up to 30ºC; do not use bleach; Do not tumble dry; Iron up to 110º C";16,96;44,5;5608838655703;1;https://pro.playupstore.com/index.php?pid=97123
PA00/0AT11352-R376R-1M;PA00/0AT11352;STRIPED JERSEY SWEATER;R376R;TAPESTRY;1M;89.0% Cotton/10.0% Recycled Cotton/1.0% Elastane;"Normal washing up to 30ºC; do not use bleach; Do not tumble dry; Iron up to 110º C";16,96;44,5;5608838655697;1;https://pro.playupstore.com/index.php?pid=97119
PA00/0AT11353-E810N-9M;PA00/0AT11353;PRINTED JERSEY SWEATER;E810N;CLOUDS DETAIL;9M;90.0% Cotton/10.0% Recycled Cotton;"do not use bleach; Do not tumble dry; Iron up to 110º C; Very mild process 30º";15,14;39,5;5608838655789;1;https://pro.playupstore.com/index.php?pid=97144
PA00/0AT11353-E810N-6M;PA00/0AT11353;PRINTED JERSEY SWEATER;E810N;CLOUDS DETAIL;6M;90.0% Cotton/10.0% Recycled Cotton;"do not use bleach; Do not tumble dry; Iron up to 110º C; Very mild process 30º";15,14;39,5;5608838655772;1;https://pro.playupstore.com/index.php?pid=97142
PA00/0AT11353-E810N-3M;PA00/0AT11353;PRINTED JERSEY SWEATER;E810N;CLOUDS DETAIL;3M;90.0% Cotton/10.0% Recycled Cotton;"do not use bleach; Do not tumble dry; Iron up to 110º C; Very mild process 30º";15,14;39,5;5608838655765;1;https://pro.playupstore.com/index.php?pid=97140
PA00/0AT11353-E810N-1M;PA00/0AT11353;PRINTED JERSEY SWEATER;E810N;CLOUDS DETAIL;1M;90.0% Cotton/10.0% Recycled Cotton;"do not use bleach; Do not tumble dry; Iron up to 110º C; Very mild process 30º";15,14;39,5;5608838655758;1;https://pro.playupstore.com/index.php?pid=97138
