;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;TINYCOTTONS S.L;;;;;;;;;;;;;;;;;ORDER SHEET
;;;;;;;;;;;;;;;;;;
;Vía Augusta 25,;;;;;;;;;;;;;;Order number;;;#3217909
;08006, Barcelona;;;;;;;;;;;;;;Order Date;;;Feb 8, 2026
;Spain;;;;;;;;;;;;;;Order type;;;Pre-order
;Tel: +34600090116;;;;;;;;;;;;;;Customer;;;BV Jove
;Tax id / VAT no: ESB66041583;;;;;;;;;;;;;;Customer ref.;;;C0001414_ES
;;;;;;;;;;;;;;;Currency;;;Euro
;;;;;;;;;;;;;;;Price list;;;EUR 2.7
;;;;;;;;;;;;;;;Incoterm;;;DAP - Delivered at Place
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;BILLING ADDRESS;;;;;;;;DELIVERY ADDRESS;;;;;;;;;
;Babette;;;;;;;;BV Jove - Babette;;;;;;;;;
;Albert I Laan 75/001;;;;;;;;Albert I Laan 75/001;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;8670, Oostduinkerke;;;;;;;;8670, Oostduinkerke;;;;;;;;;
;Belgium;;;;;;;;Belgium;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Contact: Margot;;;;;;;;Contact: Margot;;;;;;;;;
;E-mail: margot@babetteconcept.be;;;;;;;;E-mail: margot@babetteconcept.be;;;;;;;;;
;Tel: +32460970742;;;;;;;;Tel: +32460970742;;;;;;;;;
;Tax id / VAT no: BE0782481578;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;EUR;;;;;;;;;;;;;EUR;EUR
;STYLE;REFERENCE;VARIANT;SRP;SIZES;;;;;;;;;;;QTY;UNIT;TOTAL
;;;;;;;;;;;;;;;;;;
;Frills Long Coat;;;;34;36;38;40;42;;;;;;;;;
;;AW26-602;FRILLS LONG COAT L15;299,00;;1;1;1;1;;;;;;;4;110,70;442,80
;;100% Wool;;;;;;;;;;;;;;;;
;;Origin: China;;;;;;;;;;;;;;;;
